,longitude,latitude,median_house_value,population
20046,-119.01,36.06,47700.0,1392.0
3024,-119.46,35.14,45800.0,1565.0
15663,-122.44,37.8,500001.0,1310.0
20484,-118.72,34.28,218600.0,1705.0
9814,-121.93,36.62,278000.0,1063.0
13311,-117.61,34.08,158700.0,2400.0
7113,-118.02,33.89,198200.0,670.0
7668,-118.08,33.92,157500.0,1011.0
18246,-122.08,37.39,340000.0,1050.0
5723,-118.23,34.18,446600.0,943.0
20069,-120.37,38.01,123200.0,242.0
6835,-118.12,34.08,253900.0,1762.0
11351,-117.91,33.76,215100.0,4818.0
20267,-119.19,34.2,220500.0,3171.0
7097,-117.98,33.92,219800.0,1793.0
6298,-117.91,34.02,136200.0,5587.0
696,-122.1,37.69,178400.0,387.0
19607,-121.02,37.48,187500.0,244.0
14173,-117.05,32.75,139800.0,1030.0
19638,-120.97,37.43,137500.0,810.0
18332,-122.16,37.45,425000.0,1808.0
4691,-118.37,34.07,405600.0,1117.0
2323,-119.73,36.83,138800.0,1959.0
16880,-122.39,37.59,500001.0,1846.0
14521,-117.14,32.9,162100.0,2054.0
19833,-119.38,36.53,51400.0,1423.0
8383,-118.36,33.96,151300.0,2742.0
2647,-124.13,40.55,94800.0,240.0
1456,-121.98,37.96,204100.0,1420.0
5678,-118.3,33.72,361500.0,1167.0
341,-122.17,37.75,85100.0,732.0
4852,-118.31,34.03,138400.0,785.0
14386,-117.23,32.75,137500.0,892.0
18261,-122.08,37.37,465000.0,707.0
16105,-122.5,37.75,271800.0,1137.0
9149,-118.5,34.46,239400.0,4956.0
16879,-122.39,37.6,340900.0,381.0
6253,-117.96,34.03,150400.0,1755.0
11741,-121.13,38.87,128100.0,530.0
7330,-118.17,33.98,156000.0,873.0
20460,-118.75,34.29,258100.0,2734.0
2412,-119.45,36.61,90500.0,693.0
19391,-120.85,37.78,71300.0,303.0
11441,-117.98,33.73,219700.0,2192.0
13332,-117.65,34.04,151000.0,2039.0
3721,-118.43,34.2,290100.0,2240.0
14986,-117.03,32.73,142000.0,1169.0
14152,-117.09,32.77,291500.0,1263.0
5654,-118.3,33.73,255400.0,866.0
2578,-124.06,40.86,98100.0,1891.0
19332,-122.91,38.46,251900.0,912.0
3376,-118.28,34.25,162100.0,1886.0
15118,-116.95,32.84,129400.0,752.0
9620,-120.4,37.3,89400.0,967.0
7191,-118.18,34.04,150500.0,1997.0
19932,-119.33,36.3,133800.0,1563.0
13706,-117.22,34.11,80400.0,1972.0
6220,-117.91,34.05,211100.0,1727.0
14641,-117.2,32.79,255600.0,654.0
12101,-117.34,33.94,214500.0,3382.0
11512,-118.1,33.74,500001.0,934.0
4743,-118.36,34.05,202100.0,674.0
19402,-120.93,37.73,81500.0,2294.0
2608,-124.0,40.92,98800.0,672.0
11449,-117.98,33.68,281900.0,1704.0
7654,-118.26,33.83,184600.0,2064.0
19060,-122.41,38.16,254700.0,863.0
1350,-121.95,38.03,143100.0,3207.0
4591,-118.28,34.06,162500.0,3795.0
7168,-118.17,34.06,142600.0,416.0
3354,-120.67,40.5,85900.0,2503.0
738,-122.14,37.67,186900.0,1635.0
2351,-119.68,36.79,71300.0,1010.0
15137,-116.91,32.83,174400.0,2515.0
8530,-118.35,33.9,225000.0,956.0
19150,-122.7,38.35,146500.0,954.0
17041,-122.28,37.51,405000.0,1980.0
10495,-117.66,33.51,189600.0,1302.0
7806,-118.09,33.89,164400.0,717.0
8915,-118.46,34.03,337500.0,317.0
19890,-119.15,36.29,72500.0,657.0
10216,-117.91,33.87,143800.0,762.0
4391,-118.27,34.07,160000.0,1795.0
4600,-118.27,34.04,118100.0,2158.0
5751,-118.27,34.17,374000.0,908.0
15479,-117.14,33.16,202700.0,733.0
3328,-122.72,38.88,96600.0,890.0
12809,-121.47,38.61,65800.0,781.0
20268,-119.18,34.19,167400.0,1938.0
3958,-118.59,34.2,179800.0,2300.0
18873,-122.22,38.08,96700.0,1574.0
17928,-121.97,37.34,266100.0,1553.0
14307,-117.14,32.71,91100.0,480.0
2028,-119.75,36.71,49800.0,1543.0
13069,-121.3,38.58,90700.0,1125.0
6052,-117.76,34.04,115800.0,1564.0
15975,-122.45,37.77,278600.0,1330.0
14331,-117.15,32.72,250000.0,781.0
1606,-122.08,37.88,85000.0,825.0
10915,-117.87,33.73,177000.0,1970.0
13336,-117.67,34.04,99700.0,776.0
10389,-117.66,33.58,357600.0,1794.0
14462,-117.27,32.85,475000.0,608.0
14930,-117.02,32.66,273600.0,376.0
6962,-118.05,33.99,182400.0,886.0
10236,-117.92,33.87,157800.0,1888.0
4279,-118.31,34.09,193800.0,835.0
4738,-118.38,34.05,333600.0,458.0
17973,-121.95,37.31,264600.0,2135.0
19559,-120.98,37.6,58400.0,1073.0
538,-122.28,37.78,173400.0,3741.0
4186,-118.23,34.13,214800.0,835.0
2826,-119.11,35.42,200000.0,37.0
17840,-121.89,37.44,422800.0,1527.0
12570,-121.44,38.54,93600.0,1217.0
4767,-118.37,34.03,122200.0,966.0
7763,-118.1,33.91,167600.0,490.0
4043,-118.5,34.17,303600.0,369.0
11311,-117.96,33.78,269300.0,658.0
6068,-117.86,34.01,264400.0,3038.0
19252,-122.79,38.48,191000.0,3468.0
8337,-118.31,33.94,153800.0,798.0
16025,-122.44,37.73,275500.0,970.0
4309,-118.32,34.09,208800.0,2297.0
15060,-116.93,32.79,142300.0,1948.0
2420,-119.44,36.58,63500.0,879.0
13656,-117.3,34.05,95800.0,1039.0
5665,-118.29,33.73,231700.0,1865.0
3778,-118.4,34.17,221500.0,2945.0
2301,-119.78,36.82,89500.0,2133.0
5990,-117.73,34.1,226000.0,1344.0
6590,-118.18,34.19,500001.0,528.0
16104,-122.5,37.75,270200.0,941.0
9622,-120.32,37.29,59600.0,478.0
19122,-122.65,38.25,193300.0,1852.0
13932,-117.28,34.26,133600.0,1086.0
290,-122.16,37.77,161900.0,570.0
17202,-119.73,34.44,357500.0,801.0
9970,-122.48,38.5,276500.0,1287.0
20372,-118.88,34.17,410700.0,1701.0
18346,-122.15,37.43,375000.0,7604.0
14970,-117.01,32.74,135200.0,2098.0
4447,-118.21,34.07,167200.0,1848.0
4744,-118.36,34.05,252000.0,1093.0
3529,-118.53,34.26,308400.0,1590.0
7316,-118.19,33.98,172100.0,4582.0
16885,-122.4,37.58,500001.0,1145.0
15890,-122.38,37.73,193800.0,259.0
10033,-121.08,39.22,105200.0,1033.0
13597,-117.28,34.09,90800.0,273.0
4667,-118.29,34.05,168800.0,1325.0
16330,-121.33,38.02,162100.0,608.0
6541,-118.05,34.04,161200.0,1098.0
7228,-118.16,34.01,137500.0,1919.0
9845,-121.9,36.58,289300.0,704.0
10385,-117.65,33.6,278700.0,2529.0
10885,-117.92,33.7,161700.0,1510.0
11096,-117.87,33.83,231000.0,1140.0
9571,-120.61,37.36,87500.0,380.0
5222,-118.25,33.95,95700.0,1799.0
15607,-116.66,32.79,240600.0,918.0
6814,-118.07,34.1,214100.0,2812.0
3485,-118.55,34.28,428600.0,3468.0
9877,-121.85,36.61,125000.0,191.0
18786,-122.42,40.44,76400.0,495.0
17198,-119.75,34.45,263800.0,1404.0
20125,-118.8,34.41,120400.0,1148.0
19818,-119.3,36.57,109100.0,461.0
3912,-118.55,34.19,170600.0,3161.0
17825,-121.88,37.4,257400.0,4240.0
17639,-121.9,37.28,320000.0,1408.0
14015,-117.17,32.75,289600.0,381.0
15397,-117.2,33.24,307300.0,2106.0
10428,-117.64,33.45,325500.0,607.0
19766,-122.1,40.03,58400.0,1266.0
13925,-114.59,34.83,48500.0,375.0
9942,-122.23,38.17,216700.0,225.0
13933,-117.31,34.25,97900.0,1569.0
1097,-121.77,39.66,158600.0,1705.0
2115,-119.72,36.76,69000.0,3573.0
1493,-122.01,37.94,322300.0,1339.0
18466,-121.75,37.11,467700.0,1414.0
15030,-117.02,32.78,163000.0,1198.0
17923,-121.97,37.35,287100.0,999.0
2334,-119.69,36.83,54600.0,726.0
5216,-118.25,33.94,90400.0,736.0
6241,-117.97,34.06,155500.0,2194.0
4629,-118.3,34.07,175000.0,3296.0
18177,-122.0,37.36,411200.0,797.0
5059,-118.35,34.01,332100.0,1583.0
7547,-118.2,33.92,141200.0,1025.0
563,-122.24,37.75,247100.0,384.0
6421,-117.99,34.14,153000.0,1988.0
4496,-118.22,34.05,155000.0,928.0
13015,-121.19,38.71,390800.0,1520.0
19959,-119.32,36.25,90000.0,609.0
3921,-118.56,34.2,196700.0,1431.0
12414,-116.21,33.75,68200.0,830.0
4046,-118.49,34.13,500001.0,1443.0
5236,-118.23,33.94,92100.0,1417.0
16757,-122.48,37.7,297900.0,3477.0
10761,-117.87,33.62,500001.0,375.0
19071,-122.53,38.32,332300.0,1371.0
18914,-122.22,38.15,171100.0,2824.0
3482,-118.45,34.3,152100.0,2661.0
16038,-122.46,37.72,232000.0,1388.0
19485,-120.98,37.66,127100.0,401.0
9658,-120.67,37.37,87500.0,104.0
7107,-118.01,33.89,203400.0,1003.0
18656,-121.97,36.97,228600.0,1546.0
7278,-118.25,33.98,116700.0,754.0
17798,-121.81,37.38,416700.0,244.0
8538,-118.36,33.89,227600.0,723.0
15293,-117.28,33.1,267900.0,1197.0
18884,-122.25,38.1,97200.0,817.0
6641,-118.15,34.15,137500.0,698.0
4388,-118.27,34.08,198800.0,1016.0
19854,-119.31,36.39,68600.0,1538.0
18247,-122.07,37.39,352500.0,932.0
4914,-118.27,34.0,103800.0,1707.0
1901,-119.99,38.88,107800.0,675.0
13017,-121.2,38.7,131700.0,1379.0
15907,-122.42,37.74,271300.0,999.0
13570,-117.29,34.14,97300.0,646.0
9466,-123.8,39.44,95000.0,754.0
19151,-122.7,38.35,67500.0,493.0
5826,-118.3,34.19,326100.0,746.0
13915,-116.09,34.15,65600.0,4166.0
10559,-117.7,33.62,225600.0,1639.0
14366,-117.23,32.74,263800.0,513.0
5477,-118.45,34.0,348300.0,896.0
8981,-118.42,34.0,325000.0,734.0
4954,-118.31,34.02,108800.0,1227.0
15757,-122.43,37.77,400000.0,742.0
11735,-121.08,38.9,138400.0,1568.0
3210,-119.63,36.32,61000.0,749.0
16950,-122.35,37.53,453100.0,905.0
8632,-118.4,33.88,500001.0,474.0
5207,-118.29,33.92,120200.0,1616.0
8591,-118.36,33.89,329200.0,371.0
8198,-118.15,33.79,196300.0,1657.0
11903,-117.38,33.97,150000.0,1406.0
6512,-118.03,34.07,152000.0,905.0
474,-122.28,37.86,169900.0,958.0
10199,-117.93,33.87,137500.0,730.0
7723,-118.12,33.94,283000.0,973.0
14816,-117.18,32.7,404500.0,761.0
14733,-117.01,32.81,193500.0,1620.0
14657,-117.15,32.78,205100.0,611.0
12988,-121.27,38.69,145600.0,1674.0
20565,-121.7,38.65,225000.0,808.0
19296,-122.82,38.4,215900.0,1054.0
4475,-118.17,34.08,158500.0,731.0
1290,-121.79,38.0,124700.0,1588.0
12425,-116.15,33.64,65400.0,1896.0
20450,-118.91,34.28,280200.0,3246.0
7149,-118.14,34.03,180500.0,1203.0
13449,-117.4,34.08,105400.0,2503.0
5226,-118.25,33.93,100000.0,2664.0
15021,-117.03,32.79,166300.0,3331.0
17353,-120.43,34.89,158000.0,999.0
18169,-122.02,37.36,243800.0,1486.0
408,-122.28,37.9,362900.0,779.0
7655,-118.27,33.82,201900.0,1575.0
9665,-120.12,41.4,52600.0,976.0
5357,-118.39,34.05,500001.0,1253.0
7387,-118.25,33.97,112000.0,814.0
13175,-120.95,36.47,225000.0,618.0
15242,-117.25,32.99,439900.0,1478.0
13651,-117.31,34.05,88300.0,4092.0
17108,-122.22,37.44,500001.0,1318.0
385,-122.29,37.9,276800.0,576.0
6887,-118.1,34.06,179200.0,1492.0
7101,-117.99,33.9,199700.0,1021.0
15002,-117.04,32.74,132000.0,1727.0
11532,-118.09,33.77,61300.0,1829.0
18872,-122.2,38.09,171900.0,3205.0
1034,-120.76,38.47,123800.0,607.0
11986,-117.51,34.02,135300.0,3996.0
13530,-117.3,34.18,137100.0,1176.0
4463,-118.18,34.08,129300.0,2230.0
20347,-119.0,34.19,227900.0,1317.0
13112,-121.35,38.4,94400.0,1373.0
18886,-122.24,38.1,103500.0,849.0
14808,-117.18,32.69,320800.0,1304.0
20349,-119.08,34.17,125000.0,63.0
971,-121.9,37.67,332400.0,876.0
13338,-117.65,34.02,159100.0,1138.0
17881,-122.0,37.4,236900.0,1164.0
11517,-118.05,33.71,461600.0,1424.0
6243,-117.98,34.05,156900.0,2176.0
3015,-119.16,34.95,148200.0,1581.0
14664,-117.13,32.81,166500.0,1202.0
5802,-118.25,34.14,196900.0,1245.0
4417,-118.26,34.08,167800.0,1992.0
16341,-121.33,38.03,126700.0,635.0
8291,-118.15,33.76,500001.0,1183.0
1166,-121.56,39.51,57900.0,603.0
17884,-121.96,37.41,238000.0,2286.0
15055,-116.92,32.79,142000.0,2123.0
9070,-118.14,34.71,86900.0,588.0
1201,-121.7,39.36,56000.0,1505.0
8574,-118.44,33.88,500001.0,724.0
14847,-117.08,32.68,112400.0,2156.0
16251,-121.26,37.96,63600.0,367.0
17042,-122.28,37.5,431300.0,2694.0
4577,-118.28,34.07,265900.0,2226.0
2501,-120.38,36.76,58000.0,941.0
2859,-118.94,35.39,194100.0,1318.0
10275,-117.87,33.86,142800.0,2197.0
7247,-118.11,34.0,178700.0,2650.0
3682,-118.42,34.2,187500.0,66.0
11055,-117.85,33.77,225000.0,908.0
20168,-119.28,34.42,313000.0,2198.0
8875,-118.49,34.05,500001.0,810.0
7794,-118.08,33.89,153600.0,981.0
9264,-119.98,36.9,62300.0,820.0
12375,-116.38,33.74,194500.0,3581.0
11997,-117.55,33.94,163900.0,2672.0
9960,-122.26,38.36,398800.0,349.0
18605,-122.11,37.14,204100.0,1722.0
20171,-119.3,34.39,199300.0,1807.0
6649,-118.13,34.16,176700.0,1337.0
10796,-117.91,33.62,500001.0,937.0
15608,-116.87,32.75,248900.0,993.0
7346,-118.14,33.97,150000.0,1763.0
13377,-117.58,34.14,231700.0,5499.0
12281,-116.86,33.97,58000.0,376.0
1911,-120.16,39.04,126000.0,350.0
6951,-118.07,33.99,163300.0,1002.0
16495,-120.99,37.8,113400.0,1198.0
18680,-121.91,36.85,300000.0,1301.0
17011,-122.28,37.53,310900.0,970.0
11370,-117.99,33.71,218800.0,1251.0
2140,-119.75,36.77,70400.0,1005.0
1692,-122.25,38.0,237700.0,1531.0
14966,-117.0,32.74,118800.0,1423.0
2754,-115.49,32.67,73100.0,1083.0
19553,-121.0,37.62,75000.0,1043.0
3481,-118.52,34.3,450700.0,2144.0
1457,-121.97,37.97,240200.0,817.0
2698,-115.38,32.82,65800.0,1175.0
13888,-116.51,34.85,64700.0,1281.0
7983,-118.18,33.87,175100.0,1056.0
3964,-118.58,34.2,223700.0,1824.0
20586,-122.03,38.69,96300.0,939.0
16872,-122.42,37.6,405100.0,1542.0
16956,-122.3,37.53,376800.0,429.0
14459,-117.31,32.82,500001.0,833.0
803,-122.06,37.64,350000.0,857.0
20355,-118.96,34.19,162500.0,587.0
10217,-117.91,33.87,177300.0,1191.0
5116,-118.28,33.96,98400.0,1241.0
9992,-121.11,39.09,138800.0,508.0
8395,-118.37,33.96,175000.0,100.0
18534,-122.01,36.97,260900.0,1208.0
2797,-118.18,36.63,104700.0,1019.0
11218,-117.92,33.8,159500.0,679.0
8610,-118.36,33.86,295900.0,802.0
14649,-117.2,32.77,137500.0,77.0
9854,-121.89,36.59,500001.0,262.0
10476,-117.69,33.6,227000.0,1194.0
5711,-118.24,34.22,263900.0,1271.0
13206,-117.71,34.06,160400.0,912.0
5107,-118.31,33.94,142000.0,1132.0
7030,-118.1,33.96,162500.0,946.0
8460,-118.36,33.9,230400.0,640.0
17148,-122.2,37.43,500001.0,1350.0
17965,-121.99,37.32,217700.0,2042.0
9002,-118.34,33.99,183000.0,497.0
17841,-121.88,37.43,245800.0,2762.0
19167,-122.71,38.42,129200.0,1031.0
9243,-120.06,36.98,60400.0,1724.0
2559,-124.15,40.81,67500.0,235.0
18674,-121.9,36.97,295200.0,1420.0
11678,-117.99,33.85,192600.0,949.0
6933,-118.09,34.01,150600.0,1538.0
9042,-118.12,34.69,125700.0,1219.0
19688,-121.62,39.13,63400.0,583.0
12868,-121.35,38.72,151300.0,8652.0
3984,-118.64,34.19,245600.0,1062.0
11037,-117.81,33.82,500001.0,1019.0
5601,-118.28,33.8,165500.0,1207.0
13445,-117.45,34.07,113500.0,2292.0
16169,-122.55,37.79,322200.0,1229.0
8843,-118.39,34.09,362500.0,1634.0
19855,-119.45,36.35,69600.0,1076.0
7434,-118.21,33.94,156100.0,1628.0
14763,-117.1,32.59,87500.0,1621.0
11617,-118.07,33.8,193100.0,1161.0
11217,-117.93,33.8,218000.0,2054.0
7497,-118.25,33.93,101800.0,754.0
4985,-118.31,34.0,129100.0,939.0
16424,-121.38,37.88,156300.0,1094.0
14513,-117.15,32.91,183200.0,1598.0
7439,-118.19,33.95,148100.0,1559.0
4678,-118.34,34.08,500001.0,688.0
10806,-117.94,33.65,222100.0,2327.0
4148,-118.2,34.12,167600.0,1462.0
5815,-118.25,34.14,184500.0,5217.0
15806,-122.44,37.76,370000.0,784.0
16040,-122.47,37.71,239400.0,1211.0
7014,-118.08,33.97,166700.0,1258.0
6866,-118.12,34.06,233300.0,800.0
18536,-122.01,36.97,240000.0,743.0
1870,-119.94,38.95,91300.0,1134.0
3572,-118.51,34.24,483500.0,1986.0
7256,-118.16,34.0,150500.0,1233.0
19572,-120.94,37.58,99500.0,770.0
3739,-118.39,34.18,240200.0,985.0
351,-122.16,37.76,95500.0,1437.0
10743,-117.92,33.61,500001.0,394.0
6472,-118.06,34.09,251600.0,1116.0
15062,-116.96,32.8,120800.0,2612.0
12973,-121.31,38.67,135700.0,807.0
3941,-118.59,34.21,225400.0,1560.0
4115,-118.42,34.14,500001.0,1417.0
3366,-120.49,40.31,85100.0,969.0
9022,-118.84,34.11,500001.0,2484.0
7438,-118.19,33.95,164800.0,1244.0
13003,-121.27,38.67,111600.0,866.0
12896,-121.34,38.64,161000.0,1335.0
1642,-121.78,37.97,213700.0,7653.0
20089,-120.25,38.03,116500.0,1175.0
18505,-121.98,37.14,350000.0,63.0
8344,-118.34,33.93,159900.0,742.0
4219,-118.28,34.11,438300.0,633.0
1713,-122.32,38.01,171100.0,1495.0
8785,-118.32,33.79,271100.0,3240.0
17306,-119.55,34.38,500001.0,681.0
19558,-121.02,37.6,68000.0,1027.0
3820,-118.48,34.2,191700.0,2249.0
11581,-118.03,33.77,255900.0,1818.0
4484,-118.2,34.06,112500.0,533.0
14734,-117.02,32.81,182200.0,1451.0
119,-122.23,37.84,347600.0,1098.0
18018,-121.95,37.25,332000.0,1532.0
16497,-120.98,37.79,110900.0,1227.0
3711,-118.4,34.2,211900.0,3351.0
3901,-118.51,34.2,262500.0,1166.0
20149,-119.12,34.38,237900.0,3793.0
7495,-118.25,33.93,90000.0,246.0
8673,-118.38,33.83,427200.0,902.0
14548,-117.25,32.94,370500.0,673.0
1077,-121.79,39.73,116300.0,2887.0
11688,-118.0,33.88,170800.0,2276.0
3474,-118.49,34.28,285500.0,1957.0
11915,-117.4,33.95,111500.0,866.0
2189,-120.08,36.72,83200.0,820.0
936,-122.06,37.54,248200.0,3526.0
17038,-122.25,37.49,395500.0,1156.0
5900,-118.31,34.17,218300.0,2118.0
18294,-122.1,37.39,500001.0,881.0
1182,-121.49,39.49,88900.0,1174.0
606,-122.08,37.69,181000.0,740.0
17466,-119.83,34.45,280900.0,934.0
4720,-118.37,34.05,345300.0,1159.0
6285,-117.93,34.04,181000.0,4580.0
7071,-118.02,33.94,192200.0,1339.0
20635,-121.09,39.48,78100.0,845.0
19516,-121.01,37.64,75000.0,74.0
1599,-122.12,37.88,433300.0,1001.0
6149,-117.97,34.1,160100.0,1285.0
12164,-117.22,33.74,109200.0,931.0
12827,-121.42,38.7,96200.0,1478.0
11799,-121.27,38.87,191400.0,1092.0
11716,-120.1,39.19,360000.0,241.0
19275,-122.79,38.42,185600.0,2581.0
12273,-117.01,33.97,118800.0,1868.0
208,-122.23,37.79,122700.0,425.0
13375,-117.55,34.14,206300.0,2874.0
13416,-117.46,34.06,195600.0,1582.0
14274,-117.13,32.7,75600.0,917.0
19745,-122.35,40.25,104300.0,866.0
4104,-118.35,34.13,385900.0,511.0
14146,-117.07,32.74,113900.0,1099.0
1788,-122.36,37.94,79400.0,371.0
2174,-119.85,36.77,81300.0,620.0
8393,-118.36,33.96,129200.0,2365.0
3335,-122.64,38.87,73500.0,519.0
1427,-122.03,38.01,175900.0,1666.0
